"sex","income2000","totalITPA_10","grade_6yr","highest_edu","len_of_edu","num_field","edu_field","age_start_highedu","qual_job","len_unemp","age_work","age1991","family.income"
"Male",25996.98,39,7.39999997615816,5,27,1,"Science",NA,"Yes",0,22,25,NA
"Female",19561.7695388119,27,NA,4,32,2,"Science",24,NA,0,NA,27,19831.0384090768
"Female",9776.76,27,7.5,3,18,1,"Science",19,NA,3,NA,26,NA
"Female",2476.06265336636,28,6.79999995231626,NA,NA,0,"Science",NA,NA,NA,18,25,26005.7217532582
"Female",8075.87966490238,44,7,4,36,2,"Science",NA,"Somewhat",0,24,26,NA
"Male",22654.5773185126,34,7.19999998807905,NA,NA,NA,"Science",NA,NA,NA,NA,26,NA
"Male",22694.1014812311,33,6.19999998807905,3,18,1,"Science",16,"Yes",1,18,27,10145.7684758642
"Female",15308.6332544532,41,8.09999990463258,NA,NA,0,"Science",NA,NA,NA,NA,26,NA
"Female",10055.1151835014,47,8.5,NA,0,NA,"Science",NA,"No",0,20,25,28293.5821169141
"Female",19743.41,32,NA,7,45,2,"Art",NA,NA,0,NA,25,NA
"Female",11246.22,23,NA,4,27,1,"Science",24,NA,4,NA,24,NA
"Male",21886.6312462894,37,8.19999992847442,5,54,1,"Art",NA,"Somewhat",0,27,25,NA
"Female",7053.46525994285,33,NA,NA,18,1,"Science",NA,NA,1,21,27,NA
"Female",22670.7233594529,40,NA,NA,NA,0,"Science",NA,NA,NA,20,25,20332.574805785
"Male",NA,37,7.29999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,26,31331.2242567355
"Male",22404.8182477173,34,7.19999998807905,3,36,2,"Science",NA,"Yes",3,20,24,NA
"Female",9745.64939881226,39,7.59999996423721,NA,0,NA,"Science",NA,NA,0,NA,23,NA
"Male",23892.4404572693,29,6.29999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,25,20424.7417894859
"Male",19170.7326097889,38,8.19999992847442,3,18,1,"Science",NA,"Somewhat",3,NA,26,NA
"Male",23012.9857898021,NA,NA,NA,NA,NA,"Science",NA,NA,NA,NA,NA,NA
"Male",25644.6222751454,32,7.69999998807905,5,27,1,"Science",16,NA,0,24,27,NA
"Male",28261.96,44,8.5,7,40,1,"Art",NA,"Yes",0,24,26,28618.1848149848
"Male",23486.9393665706,39,8.79999995231626,6,30,1,"Art",NA,"Yes",0,22,25,17420.5690470304
"Female",8075.87966490238,44,NA,7,63,1,"Science",20,"Somewhat",0,NA,25,16292.532624253
"Female",23876.97,NA,NA,NA,NA,NA,"Science",NA,NA,NA,NA,NA,NA
"Female",43196.21,39,NA,5,45,1,"Science",19,"Yes",0,20,25,NA
"Male",25557.5,54,NA,3,30,2,"Science",NA,"Yes",0,21,26,NA
"Male",19975.5118379072,38,8,4,27,1,"Science",20,"Yes",0,23,25,NA
"Male",24068.5332162745,25,NA,3,27,1,"Science",15,"Yes",0,21,23,NA
"Male",NA,37,6.89999997615816,NA,NA,NA,"Science",NA,NA,NA,NA,26,28584.2108538396
"Female",46171.62,42,NA,5,27,1,"Science",20,"Yes",0,24,27,23275.1907671556
"Female",15430.4,35,7.5,4,27,1,"Science",23,NA,3,22,25,24162.718455093
"Female",13869.9537315014,36,NA,NA,NA,NA,"Science",NA,NA,NA,NA,26,NA
"Female",2476.06265336636,42,7.79999995231626,4,36,1,"Science",16,NA,NA,24,27,10935.9153543804
"Female",12453.48,39,NA,3,18,1,"Science",NA,"Yes",0,23,25,21181.2510827098
"Male",20559.628506508,31,6.5,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Female",8043.92395887469,37,8.69999992847442,3,18,1,"Science",17,"Yes",NA,NA,25,NA
"Female",6759.98,32,6.5,3,18,1,"Science",NA,NA,0,NA,24,NA
"Male",26553.005265964,35,7.5,NA,NA,NA,"Science",NA,NA,NA,NA,25,17718.2616768672
"Male",40807.1002215035,34,NA,NA,NA,NA,"Science",NA,NA,NA,NA,27,23275.1907671556
"Male",15994.17,40,8,7,53,1,"Art",19,"Yes",2,NA,25,23886.3856919167
"Female",15335.38,31,6.39999997615816,3,18,1,"Science",NA,"Somewhat",0,18,26,12521.7593129859
"Female",21030.2183247473,32,8.19999992847442,7,36,1,"Art",NA,NA,0,24,24,NA
"Female",12326.32,NA,NA,NA,NA,NA,"Science",NA,NA,0,NA,NA,NA
"Female",2205.61646761626,25,7.19999998807905,3,9,1,"Science",20,NA,0,23,27,NA
"Male",25996.98,38,8.29999995231626,3,18,1,"Science",16,"Yes",0,18,24,19156.2684481132
"Male",22654.5773185126,34,6.19999998807905,3,30,1,"Science",NA,"Yes",0,20,25,15297.1964754538
"Male",30548.982210763,40,7.79999995231626,6,22,1,"Science",NA,"No",0,25,25,NA
"Female",NA,39,7.09999996423721,4,36,1,"Science",NA,NA,4,NA,25,NA
"Male",16809.0377464163,34,7.69999998807905,3,27,1,"Science",16,"Yes",0,17,24,17454.7111961021
"Male",6889.15,32,6.59999996423721,NA,NA,NA,"Science",NA,NA,NA,NA,27,14682.8059800899
"Female",8765.28197546811,34,8.39999997615816,NA,9,1,"Science",NA,"Yes",0,18,26,16094.9118106608
"Male",9706.96617572611,21,6.89999997615816,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Female",42473.84,39,9.29999995231626,7,66,1,"Science",19,"Yes",0,NA,25,NA
"Female",NA,31,NA,4,27,1,"Science",NA,"Yes",0,19,24,111901.482240195
"Female",19599.9481981187,32,NA,NA,NA,NA,"Science",NA,NA,NA,NA,27,8588.34827683059
"Female",96472.5946183227,41,8.79999995231626,5,36,1,"Art",19,"Yes",0,23,25,28469.5066879929
"Male",19611.05,34,NA,3,18,1,"Science",19,"Yes",0,21,27,NA
"Male",13289.37,40,7.89999997615816,7,36,1,"Science",21,NA,1,NA,23,NA
"Male",15189.5562025184,35,NA,NA,0,NA,"Science",NA,"No",0,21,27,12924.9057727142
"Male",3828.12539419045,37,7.29999995231626,3,18,1,"Science",NA,"No",4,18,26,NA
